"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","exclusion_reason","extraction_date","expert_decision","ID","o1"
"Perinatal depression in times of COVID-19: the role of social media on the Internet","Public health emergencies such as COVID-19 pandemic could lead to situations of extreme stress, anxiety and depression in women in the perinatal period  Perinatal depression may lead to multiple negative consequences for mothers, newborns, and their relatives  Appropriate use of social media may be a valuable supporting tool for women during this stage of their lives  This paper describes the role of social media on the Internet for supporting pregnant women and mothers with depression, particularly in global public health emergencies such as the COVID-19 pandemic  Social media may contribute to support health and wellness by facilitating social interaction, building communities, normalizing help-seeking behavior, inspiring healthy lifestyle changes, and promoting medical research  It is essential to adequately educate women in the perinatal stage in digital health literacy including the efficient use of social media for socio-emotional support and assuring the quality of the information circulating in social media and in Internet for proper decision-making","Bermejo, S.; aacute, nchez; F. R.; Pe, ntilde; a-Ayudante, W. R.; Espinoza-Portilla, E.","https://doi.org/10.35663/amp.2020.371.913","","Database: COVIDWHO; Publication details: Acta M&eacute;37(1):88-93, 2020.; Publication details: Acta M&eacute;37(1):88-93, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3224,""
"Telepsichiatria negli adulti e negli adolescenti: uno strumento utile contro la CoViD-19","CoViD-19 is a disease caused by the novel coronavirus (SARS-CoV-2), originated from China in December 2019  In March 2020, CoViD-19 was declared a pandemic, having spread all over the word  The psychological impact of CoViD-19 disease must be recognized alongside the physical symptoms for all those affected  Furhermore quarantine for coronavirus has serious psychological side effects, such as depression and anxiety that are more likely to occur and worsen  Furhermore quarantine reduces the availability of psychiatric and psychological interventions  The evidence base for telepsychiatry is growing in adults and adolescents  A growing body of literature suggests that use of telepsychiatry to provide mental health services has the potential to remove geographic barriers between patients and providers and improves quality care  It has increased the volume of patients that physicians can reach and diagnose, as well as allowing them to treat patients","Prisco, Vincenzo; Prisco, Lorenzo; Donnarumma, Bernadette","https://www.google.com/search?q=Telepsichiatria+negli+adulti+e+negli+adolescenti:+uno+strumento+utile+contro+la+CoViD-19","","Database: COVIDWHO; Publication details: Recenti Prog Med;111(7):411-414, 2020.; Publication details: Recenti Prog Med;111(7):411-414, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3225,""
"[Social Participation, Inclusion and Mental Well-Being Following SARS-CoV-2 Related Restrictions on Going Out - A Follow-up Study from Germany]","To assess the impact of the Corona pandemic and related restrictions on going out on social participation, social inclusion and well-being in adults with and without current or chronic mental health problems METHODS: Follow-up survey (nÃ¢â‚¬Å =Ã¢â‚¬Å 132) using the Measure of Participation and Social Inclusion for Use in People with a Chronic Mental Disorder (F-INK), the Index for the Assessment of Health Impairments (IMET), and the Brief Symptom Inventory (BSI-18). The impact on social participation capabilities and social participation differed depending on the participants' mental health status at the first assessment. Independent of this, we found no detrimental effect on the mental health status four weeks after the enactment of restrictions on going-out. Findings imply a general resilience in well-being in the preliminary stages of the Corona pandemic. Untersuchung der Auswirkungen der Coronapandemie und der in diesem Zusammenhang ausgesprochenen AusgangsbeschrÃƒÂ¤nkungen auf TeilhabemÃƒÂ¶glichkeiten, Partizipation, Inklusionserleben und psychisches Befinden bei Personen, die sich mit Blick auf das Vorliegen einer akuten oder chronischen psychischen StÃƒÂ¶rung unterschiedlichen Gruppen zuordnen lassen. Follow-up-Erhebung mittels Fragebogen zur Erfassung von Partizipation und sozialer Inklusion (F-INK), Index zur Messung von EinschrÃƒÂ¤nkungen der Teilhabe (IMET) und BSI-18 (nÃ¢â‚¬Å =Ã¢â‚¬Å 132). In AbhÃƒÂ¤ngigkeit vom Vorliegen einer akuten oder chronischen psychischen StÃƒÂ¶rung waren die Studienteilnehmer in ihren TeilhabemÃƒÂ¶glichkeiten sehr unterschiedlich betroffen. In keiner der untersuchten Gruppen kam es zu einem Anstieg psychischer Beschwerden. Es fand sich kein Hinweis dafÃƒÂ¼r, dass es zu Beginn der Coronapandemie und im Zusammenhang mit einer vierwÃƒÂ¶chigen AusgangsbeschrÃƒÂ¤nkung zu negativen psychischen Folgen kam.","SchÃƒÂ¼tzwohl, Mergel","https://doi.org/10.1055/a-1202-2427","20200720","","PubMed","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3226,""
"[Adjustment Disorder, Depression, Stress Symptoms, Corona Related Anxieties and Coping Strategies during the Corona Pandemic (COVID-19) in Swiss Medical Staff]","International studies point to increased mental health problems of medical staff during the Corona pandemic (COVID-19). This is the first study to investigate mental health, i.Ã¢â‚¬â€°e. adjustment disorder, depression, stress symptoms, Corona related fears as well as coping mechanisms in this group in a German-speaking country. In April 2020, N=100 subjects were recruited that currently are engaged in a hospital. A series of standardized assessments were included: adjustment disorder (ADNM-20), depression (PHQ-9), stress symptoms and coping strategies (SCI). Currently, cross-sectional data are analyzed, because the study is still going on and longitudinal data is not yet assessed. Frequencies of adjustment disorder and depression are 8 and 15%, respectively. Two hierarchical regression models were run to predict adjustment disorder and depression; predictive power was higher for the first (41 vs. 35%). Fear of infection was reported to be higher regarding one's family than oneself. Nursing staff, those with preloads, and women were found to report more mental health problems. Those with direct contact to people that fell ill with COVID-19 did not differ from those with no direct contact. Currently, medical staff has a high risk for being mentally stressed. China, being epidemically experienced, has published principles for psychiatric interventions in January 2020. This might be relevant for Switzerland, too. Specific psychotherapeutic interventions, targeting at cognitive restructuring and sensitizing regarding dealing with alcohol and cigarettes, may be needed in order to protect this vulnerable group of person during and after the Corona pandemic. Studien aus dem internationalen Raum weisen auf eine erhÃƒÂ¶hte psychische Belastung des Klinikpersonals wÃƒÂ¤hrend der Corona Pandemie (COVID-19) hin. Dies ist die erste Studie, die psychische Belastung, i.Ã¢â‚¬â€°e. AnpassungsstÃƒÂ¶rung, Depression, Stresssymptome und Corona bezogene Sorgen, sowie BewÃƒÂ¤ltigungsstrategien in dieser Personengruppe im deutschen Sprachraum untersuchte. Es wurden 100 Personen, die derzeit in einer Klinik beschÃƒÂ¤ftigt sind, im April 2020 befragt. Erhoben wurden AnpassungsstÃƒÂ¶rung (ADNM-20), Depression (PHQ-9), Stresssymptome und BewÃƒÂ¤ltigungsstrategien (SCI). Vorliegend wurde der Querschnitt ausgewertet, die Datenerhebung lÃƒÂ¤uft derzeit noch, es werden LÃƒÂ¤ngsschnittdaten ÃƒÂ¼ber 15 Monate hinweg entstehen. Die HÃƒÂ¤ufigkeit von AnpassungsstÃƒÂ¶rung betrÃƒÂ¤gt 8% und diejenige von Depression 15%. Ein Modell zur Vorhersage beider StÃƒÂ¶rungen durch Vorbelastungen und aktuelle Belastungen fand eine geringfÃƒÂ¼gig verbesserte bessere Vorhersageleistung fÃƒÂ¼r AnpassungsstÃƒÂ¶rung (41% VarianzaufklÃƒÂ¤rung) als fÃƒÂ¼r Depression (35%). Die Ansteckungssorge fÃƒÂ¼r die eigene Person fiel geringer aus als diejenige fÃƒÂ¼r die Familie. Personen aus der Pflege, Personen mit Vorbelastungen und Frauen sind am meisten belastet. Personen mit direktem vs. ohne direktem Kontakt mit COVID-19 Patient/innen unterschieden sich nicht. Das Klinikpersonal ist derzeit psychisch belastet. Das hinsichtlich Epidemie erfahrene China hat bereits im Januar 2020 erste Prinzipien fÃƒÂ¼r psychiatrische Interventionen herausgegeben. Solche dÃƒÂ¼rften fÃƒÂ¼r die Schweiz ebenfalls sinnvoll sein. Es bedarf spezifischer psychotherapeutischer Interventionen, insbesondere auf kognitive Umstrukturierung fokussierend und fÃƒÂ¼r den Umgang mit Alkohol und Zigaretten sensibilisierend, um diese vulnerable und im Rahmen der Pandemie besonders wichtige Personengruppe zu schÃƒÂ¼tzen.","Krammer, Augstburger, Haeck, Maercker","https://doi.org/10.1055/a-1192-6608","20200720","","PubMed","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3227,""
"Preexisting Comorbidities Predicting COVID-19 and Mortality in the UK Biobank Community Cohort","Hospitalized COVID-19 patients tend to be older and frequently have hypertension, diabetes or coronary heart disease (CHD), but whether these co-morbidities are true risk factors (i.e. more common than in the general older population) is unclear. We estimated associations between pre-existing diagnoses and hospitalized COVID-19 alone or with mortality, in a large community cohort. UK Biobank (England) participants with baseline assessment 2006 to 2010, followed in hospital discharge records to 2017 and death records to 2020. Demographic and pre-existing common diagnoses association tested with hospitalized laboratory confirmed COVID-19 (16th March to 26th April 2020), alone or with mortality, in logistic models. Of 269,070 participants aged 65+, 507 (0.2%) became COVID-19 hospital inpatients, of which 141 (27.8%) died. Common co-morbidities in hospitalized inpatients were hypertension (59.6%), history of fall or fragility fractures (29.4%), coronary heart disease (CHD, 21.5%), type 2 diabetes (type 2, 19. 9%) and asthma (17.6%). However, in models adjusted for comorbidities, age-group, sex, ethnicity and education, pre-existing diagnoses of dementia, type 2 diabetes, COPD, pneumonia, depression, atrial fibrillation and hypertension emerged as independent risk factors for COVID-19 hospitalization, the first five remaining statistically significant for related mortality. Chronic Kidney Disease and asthma were risk factors for COVID-19 hospitalization in women but not men. There are specific high risk pre-existing co-morbidities for COVID-19 hospitalization and related deaths in community based older men and women. These results do not support simple age-based targeting of the older population to prevent severe COVID-19 infections.","Atkins, Masoli, Delgado, Pilling, Kuo, Kuchel, Melzer","https://doi.org/10.1093/gerona/glaa183","20200720","COVID-19; Epidemiology; Morbidity; Mortality","PubMed","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3228,""
"Expanding psychology training pathways for public policy preparedness across the professional lifespan","Psychological and behavioral health policies are critical in the successful public health responses to the COVID-19 pandemic. Psychologists trained in policy and advocacy can lead efforts to integrate psychological science and mental health considerations into policy responses to the pandemic. The authors summarize existing opportunities and propose expanding training opportunities, including undergraduate and graduate coursework, seminars, online, one-time trainings, continuing education, and postdoctoral fellowships. (PsycInfo Database Record (c) 2020 APA, all rights reserved).","Glassgold, Wolff","https://doi.org/10.1037/amp0000696","20200720","","PubMed","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3229,""
"Exploring student mental health and intention to use online counselling in Hong Kong during the COVID-19 pandemic","","Li, Leung","https://doi.org/10.1111/pcn.13117","20200720","","PubMed","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3230,""
"Techniques, Methods, and Dissemination of Community-Based Psychological Support Strategies in Times of the COVID-19 Pandemic","In times of the coronavirus pandemic caused by SARS-CoV-2 psychological support needs to meet certain requirements. Due to the lockdown in many countries of the world, the every-day activities of millions of people are reduced to a minimum. This may cause increased psychosomatic symptoms in persons with pre-existing mental illnesses, and additionally raises new challenges for the general population. As a result of the current contact restrictions, access to psychotherapy is further complicated. To guarantee the best possible care under the given conditions, we developed the CoPE (Coping with Corona: Extended Psychosomatic care in Essen) concept. CoPE is delivered by telephone or video calls as well as online contents. The materials presented at our webpage www.cope-corona.de aim to easily reach citizens affected by symptoms such as worries, depression or anger and let them receive readily understandable expert knowledge and training in basic self-help methods.","Benecke, BÃƒÂ¤uerle, Jansen, Schneider, DÃƒÂ¶rrie, Teufel, Skoda","https://doi.org/10.1177/2150132720943328","20200720","coronavirus; mental health; psychological support strategies; self-help strategies","PubMed","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3231,""
"Psychological Impact of Quarantine on Caregivers at a Children's Hospital for Contact with Case of COVID-19","Quarantine often provokes negative psychological consequences. Thus, we aimed to identify the psychological and behavioral responses and stressors of caregivers quarantined with young patients after a close contact to a coronavirus disease 2019 case at a children's hospital. More than 90% of the caregivers reported feelings of worry and nervousness, while some of them reported suicidal ideations (4.2%), and/or homicidal ideations (1.4%). Fear of infection of the patient (91.7%) and/or oneself (86.1%) were most frequently reported stressors. A multidisciplinary team including infection control team, pediatrician, psychiatrist, nursing staff and legal department provided supplies and services to reduce caregiver's psychological distress. Psychotropic medication was needed in five (6.9%), one of whom was admitted to the psychiatry department due to suicidality. Quarantine at a children's hospital makes notable psychological impacts on the caregivers and a multidisciplinary approach is required.","Kim, Park, Shin, Lee, Chung, Lee, Kim, Jung, Lee, Yum, Lee, Koh, Ko, Lim, Lee, Lee, Choi, Han, Shin, Lee, Kim, Kim","https://doi.org/10.3346/jkms.2020.35.e255","20200720","COVID-19; Caregivers; Psychological Response; Stressor","PubMed","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3232,""
"Debate: Exposing the most serious infirmity-racism's impact on health in the era of COVID-19","The COVID-19 pandemic retells a story that other diseases like HIV, diabetes, and cancer have clearly internationally illustrated. Minorities in developed countries across the globe - especially those of African, Hispanic, and Native American descent - suffer a greater burden of disease than whites. The evidence of the cause and effect relationship of racism on mental and minority health outcomes is staggering. Racism and its influence on policy and important structural systems allow health inequities across racial and ethnic groups to persist. What's more troubling is how systemic racism impacts children from all races and has been perpetuated across many generations dating back hundreds of years. The impact of racial oppression is seen through intergenerational trauma which impacts youth in varying ways. For this article, we offer three areas in which racism causes healthcare disparities, intergenerational trauma, social determinants, and cultural mistrust. Effective policy change and a greater level of accountability must be placed on major systems including health care, to most fully counter racism's varied role in sustaining mental health inequities.","Farquharson, Thornton","https://doi.org/10.1111/camh.12407","20200720","","PubMed","Undecided","","","","","","","","","","","","","False","False","","2020-07-21","",3233,""
