"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","extraction_date","expert_decision","ID","o1"
"Public perceptions and experiences of social distancing and social isolation during the COVID-19 pandemic: A UK-based focus group study","OBJECTIVE: Explore the perceptions and experiences of the UK public of social distancing and social isolation measures related to the COVID-19 pandemic. DESIGN: Qualitative study comprising five focus groups carried out online during the early stages of the UK's social distancing and isolation measures (5-12 days post lockdown). SETTING: Online video-conferencing PARTICIPANTS: 27 participants, all UK residents aged 18 years and older, representing a range of gender, ethnic, age and occupational backgrounds. RESULTS: The social distancing and isolation associated with COVID-19 policy has had having substantial negative impacts on the mental health and wellbeing of the UK public within a short time of policy implementation. It has disproportionately negatively affected those in low-paid or precarious employment. Practical social and economic losses - the loss of (in-person) social interaction, loss of income and loss of structure and routine - led to psychological and emotional 'losses' - the loss of motivation, loss of meaning, and loss of self-worth. Participants reported high adherence to distancing and isolation guidelines but reported seeing or hearing of non-adherence in others. A central concern for participants was the uncertainty duration of the measures, and their ability to cope longer-term. Some participants felt they would have lingering concerns over social contact while others were eager to return to high levels of social activity. CONCLUSIONS: A rapid response is necessary in terms of public health programming to mitigate the mental health impacts of COVID-19 social distancing and isolation. Initial high levels of support for, and adherence to, social distancing and isolation is likely to wane over time, particularly where end dates are uncertain. Social distancing and isolation 'exit strategies' must account for the fact that, although some individuals will voluntarily or habitually continue to socially distance, others will seek high levels of social engagement as soon as possible.","Williams, S. N.; Armitage, C. J.; Tampe, T.; Dienes, K.","https://www.medrxiv.org/content/10.1101/2020.04.10.20061267v1?rss=1""","20200415",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",334,""
"COVID-19 pandemic and lockdown measures impact on mental health among the general population in Italy. An N=18147 web-based survey.","Background The psychological impact of the COronaVIrus Disease 2019 (COVID-19) outbreak and lockdown measures on the Italian population are unknown. The current study assesses rates of mental health outcomes in the Italian general population three to four weeks into lockdown measures and explores the impact of COVID-19 related potential risk factors. Methods A web-based survey spread throughout the internet between March 27th and April 6th 2020. 18147 individuals completed the questionnaire, 79.6% women. Selected outcomes were post-traumatic stress symptoms (PTSS), depression, anxiety, insomnia, perceived stress and adjustment disorder symptoms (ADS). Seemingly unrelated logistic regression analysis was performed to identify COVID-19 related risk factors. Results Respondents endorsing PTSS, depression, anxiety, insomnia, high perceived stress and adjustment disorder were 6604 (37%), 3084 (17.3%), 3700 (20.8%), 1301 (7.3%), 3895 (21.8%) and 4092 (22.9%), respectively. Being woman and younger age were associated with all of the selected outcomes. Quarantine was associated with PTSS, anxiety and ADS. Any recent COVID-related stressful life event was associated with all the selected outcomes. Discontinued working activity due to the COVID-19 was associated with all the selected outcomes, except for ADS; working more than usual was associated with PTSS, Perceived stress and ADS. Having a loved one deceased by COVID-19 was associated with PTSS, depression, perceived stress and insomnia. Conclusion We found high rates of negative mental health outcomes in the Italian general population three weeks into the COVID-19 lockdown measures and different COVID-19 related risk factors. These findings warrant further monitoring on the Italian population s mental health.","Rossi, R.; Socci, V.; Talevi, D.; Mensi, S.; Niolu, C.; Pacitti, F.; Di Marco, A.; Rossi, A.; Siracusano, A.; Di Lorenzo, G.","https://www.medrxiv.org/content/10.1101/2020.04.09.20057802v1?rss=1""","20200414",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",335,""
"<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","<U+672C><U+6587><U+662F><U+70BA><U+7167><U+8B77><U+5169><U+4F4D><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+75BE><U+75C5>Coronavirus disease 2019(COVID-19)<U+611F><U+67D3><U+500B><U+6848><U+5165><U+4F4F><U+8CA0><U+58D3><U+9694><U+96E2><U+75C5><U+623F><U+5F8C>,<U+75C5><U+4EBA><U+6240><U+9762><U+81E8><U+8EAB><U+9AD4><U+3001><U+5FC3><U+7406><U+3001><U+8207><U+793E><U+6703><U+7B49><U+5404><U+65B9><U+9762><U+6539><U+8B8A><U+6240><U+5F15><U+767C><U+7684><U+8B77><U+7406><U+554F><U+984C><U+3002><U+7B46><U+8005><U+85C9><U+7531><U+81E8><U+5E8A><U+89C0><U+5BDF><U+53CA><U+96FB><U+8A71><U+8A2A><U+8AC7><U+8490><U+96C6><U+8CC7><U+6599>,<U+63D0><U+4F9B><U+5408><U+5B9C>,<U+500B><U+5225><U+8B77><U+7406><U+63AA><U+65BD>,<U+5305><U+542B><U+9F13><U+52F5><U+500B><U+6848><U+60C5><U+7DD2><U+6292><U+767C><U+8207><U+8010><U+5FC3><U+50BE><U+807D><U+5FC3><U+4E2D><U+611F><U+53D7>,<U+9069><U+6642><U+63D0><U+4F9B><U+9069><U+7576><U+7684><U+5FC3><U+7406><U+652F><U+6301><U+3002><U+5229><U+7528><U+97F3><U+6A02><U+7D13><U+58D3>,<U+5F15><U+5C0E><U+500B><U+6848><U+4EE5><U+6B63><U+5411><U+614B><U+5EA6><U+9762><U+5C0D><U+6B64><U+6B21><U+75BE><U+75C5>,<U+540C><U+6642><U+5354><U+52A9><U+500B><U+6848><U+5728><U+51FA><U+9662><U+5F8C><U+6062><U+5FA9><U+6B63><U+5E38><U+751F><U+6D3B>,<U+5E0C><U+671B><U+6B64><U+5831><U+544A><U+80FD><U+63D0><U+4F9B><U+8B77><U+7406><U+4EBA><U+54E1><U+5728><U+7167><U+9867><U+985E><U+4F3C><U+500B><U+6848><U+4E4B><U+53C3><U+8003><U+3002> We reported our nursing experience about caring two cases for Coronavirus disease 2019 (COVID-19) infected diseases patients, mainly focused on the mental health care. Patients admitted in the negative pressure isolation ward might having care needs in physical, mental, and social dimensions. According to our clinical observation and telephone interviews with patients, we suggested personalized nursing cares by listening, music relaxation, and emotional expression might be the suitable methods to lead patients to release their acute stress status.","<U+674E><U+5468><U+71D5>; <U+51CC><U+6B63><U+83EF>; <U+5289><U+7FCE><U+73B2>; <U+8449><U+9E97><U+6708>; <U+6D2A><U+5F18><U+660C>","https://www.google.com/search?q=<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",336,""
"Remote consultations in the era of COVID-19 pandemic: Preliminary experience in a regional Australian public acute mental health care setting.","In the wake of the recent pandemic of Corona Virus Disease 2019 (COVID-19), with confirmed cases having crossed 750,000, health systems across the world are getting overwhelmed; making it strenuous to maintain essential health services. Several changes were implemented in our acute mental health care service using a collaborative approach to maintain a balance between preventive measures to 'flatten the curve' and to provide care to those who were in need. Mode of service delivery was changed pr","Kavoor, Chakravarthy, John","https://doi.org/10.1016/j.ajp.2020.102074","20200415","Acute Mental Health Care during COVID-19; COVID-19; COVID-19 response; Corona Virus; Psychiatry; Telepsychiatry","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",337,""
"The Impact of COVID-19 on Bariatric Surgery: Re-Defining Psychosocial Care.","The global outbreak of novel coronavirus disease (COVID-19) has had a tremendous psychological impact on individuals around the world. Individuals with obesity are susceptible to distress and psychological sequalae secondary to this pandemic, which can have detrimental effects on obesity management. In particular, individuals undergoing bariatric surgery could experience increased emotional distress resulting in increased eating psychopathology, mental health exacerbation and difficulties with s","Sockalingam, Leung, Cassin","https://doi.org/10.1002/oby.22836","20200415",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",338,""
"Mental Health Care Providers Dealing With Coronavirus Disease 2019 (COVID-19): What Is the Definition of a Case, How Is That Changing, and What Kinds of Tests Are Available?","The goal of this column is to inform mental health care professionals about the evolving way the diagnosis of Coronavirus Disease 2019 (COVID-19) is being made, with emphasis on tests to assist in making the diagnosis and to determine the presence of antibodies to the virus. This column also provides some general information about the disease, its relative risks, and efforts to develop effective treatments. Links to credible websites that are being continuously updated are also provided for read","Preskorn","https://doi.org/10.1097/PRA.0000000000000473","20200415",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",339,""
"[The Impact of the COVID-19 Pandemic on Mental Health].",NA,"Afonso","https://doi.org/10.20344/amp.13877","20200415","Coronavirus; Mental Health; Pandemics","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",340,""
"Covid-19, Coronavirus and Mental Health Rehabilitation at Times of Crisis.",NA,"Chaturvedi","https://doi.org/10.1007/s40737-020-00162-z","20200415",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",341,""
"Mental health advice for frontline healthcare providers caring for patients with COVID-19.",NA,"Alikhani, Salimi, Hormati, Aminnejad","https://doi.org/10.1007/s12630-020-01650-3","20200415",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",342,""
"Clinical and surgical consequences of the COVID-19 pandemic for patients with pediatric urological problems: Statement of the EAU guidelines panel for paediatric urology, March 30 2020.","The COVID-19-pandemic forces hospitals to reorganize into a dual patient flow system. Healthcare professionals are forced to make decisions in patient prioritization throughout specialties. Most pediatric urology pathologies do not require immediate or urgent care, however, delay may compromise future renal function or fertility. Contact with patients and parents, either physical in safe conditions or by (video)telephone must continue. The Paediatric-Urology-Guidelines-panel of the EAU proposes ","Quaedackers, Stein, Bhatt, Dogan, Hoen, Nijman, Radmayr, Silay, Tekgul, Bogaert","https://doi.org/10.1016/j.jpurol.2020.04.007","20200415",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-16","",343,""
