"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","exclusion_reason","extraction_date","expert_decision","ID","o1"
"Impact of COVID-19 on education, health and lifestyle behaviour of Brazilian urology residents","Objectives: To evaluate the impact of COVID-19 on clinical and surgical practice, educational activities, health and lifestyle behavior of Brazilian urology residents. Materials and Methods: A web-based survey was sent to 468 Brazilian urology residents from postgraduate years (PGY) 3 to 5 to collect data on clinical practice and training after 4 months of COVID-19. We also assessed health-related and behavior changes, rate of infection by SARS-CoV-2, deployment to the front line of COVID-19, residents concerns, and access to personal protective equipment (PPE). Results: Massive reductions in elective and emergency patient consultations, diagnostic procedures and surgeries were reported across the country, affecting PGY 3 to 5 alike. Most in-person educational activities were abolished. The median damage to the urological training expected for 2020 was 6.0 [3.4 -7.7], on a scale from 0 to 10, with senior residents estimating a greater damage (P< 0.001). Educational interventions developed included online case-based discussions, subspeciality conferences and lectures, and grand rounds. Most senior residents favored extending residency to compensate for training loss and most younger residents favored no additional training (p< 0.001). Modifications in health and lifestyle included weight gain (43.8%), reduced physical activity (68.6%), increased alcoholic intake (44.9%) and cigarette consumption (53.6%), worsening of sexual life (25.2%) and feelings of sadness or depression (48,2%). Almost half were summoned to work on the COVID-19 front-line and 24.4% had COVID-19. Most residents had inadequate training to deal with COVID-19 patients and most reported a shortage of PPE. Residents concerns included the risk of contaminating family members, being away from residency program, developing severe COVID-19 and overloading colleagues. Conclusions: COVID-19 had a massive impact in Brazilian urology residents training, health and lifestyle behavior, which may reflect what happened in other medical specialties. Studies should confirm these findings to help developing strategies to mitigate residents losses.","Jose A Prezotti Sr.; Joao Victor T Henriques Sr.; Luciano Favorito; Alfredo F Canalini Sr.; Marcos G Machado Sr.; Thulio Bosi Sr.; Akemi M Barbosa; Julyana Moromizato; Karin Anzolch; Roni Fernandes; Fransber Rodrigues; Carlos Henrique Bellucci; Caroline Santos Silva; Antonio Carlos Lima Pompeo; Jose de Bessa Jr.; Cristiano M Gomes","https://medrxiv.org/cgi/content/short/2021.01.26.21250518","20210127","","medRxiv","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9900,""
"A cross-sectional survey of the workplace factors contributing to symptoms of anxiety and depression among nurses and physicians during the first wave of COVID-19 pandemic in two US healthcare systems","Background: Anxiety and depression among physicians and nurses during COVID-19 pandemic in the USA is not well described and its modifiable causes poorly understood. Methods: We conducted a cross-sectional survey of symptoms of anxiety and depression (Hospital Anxiety and Depression Scale) among physicians and nurses in two US healthcare systems June-Sept 2020. We ascertained features of work as well as its perceptions and associated concerns in relation to risk of anxiety and depression, while controlling for health history via regression and path analyses. Results: About a third of 684 nurses and 185 physicians surveyed showed symptoms of anxiety or depression, the excess was particularly prominent in nurses. Belief in having been infected was a dominant cause of anxiety and depression, more related to history of symptoms of pneumonia, then the contact with infected patients. Having confidence in competent use and access to personal protective equipment, maintaining usual working hours and being surrounded by colleagues who were both sufficient in numbers and not stressed, was protective. Having support of immediate family and religious communities lessened anxiety and depression after accounting for other factors. Involvement in aerosol-generating procedures with infected patients was linked with lower depression in nurses but higher among physicians. Likewise, the setting of recent patient encounters affected risk differently for physicians and nurses. Conclusions: Our findings may help develop mitigation measures and underscore the need to help nurses and physicians bear the psychological burden of COVID-19 pandemic and similar events in the future.","Igor Burstyn; Karyn Holt","https://medrxiv.org/cgi/content/short/2021.01.25.21250315","20210126","","medRxiv","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9901,""
"Psychobehavioral Responses, Post-Traumatic Stress and Depression in Pregnancy During the Early Phase of COVID-19 Outbreak","Objective: The novel coronavirus disease (COVID-19) outbreak has aroused a range of negative effects  Such considerable influence can be greater in vulnerable populations including pregnant women  This study aimed to assess the presence of prenatal depression (PND, as an important risk factor of postpartum depression) and post-traumatic stress disorder (PTSD) and to characterize infection-induced preventive behaviors and psychological responses in the early phase of COVID-19 outbreak  Methods: Based on a population-based sample of pregnant women from all regions in China, presence of probable PND and suspected PTSD were assessed using the Edinburgh Postnatal Depression Scale (=13) and the PTSD Checklist (=14), respectively  A web-based questionnaire was used to assess psychological and behavioral responses to COVID-19  Results: Among a total of 1908 questionnaires returned, 1901 women provided valid data (mean [SD] age, 28 9 [4 7] years)  High prevalence of probable PND (34%) and suspected PTSD (40%) among pregnant women was observed  Those with suspected PTSD presented six times higher risk of probable PND than the non-suspected (OR=7 83, 95% CI: 6 29â€“9 75;p75%)  Conclusions: High prevalence of PND and PTSD and high levels of anxiety suggest profound impacts of the present outbreak on mental health  This calls for special attention and support for vulnerable populations  Mental health care should become part of public health measures during the present outbreak and should continue to be intensified to empower the health system for post-outbreak periods","Zhang, C. J. P.; Wu, H.; He, Z.; Chan, N. K.; Huang, J.; Wang, H.; Yin, Z.; Akinwunmi, B.; Ming, W. K.","https://doi.org/10.1176/appi.prcp.20200019","","Database: COVIDWHO; Publication details: Psychiatric Research and Clinical Practice;2020.; Publication details: Psychiatric Research and Clinical Practice;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9902,""
"One-Week Self-Guided Internet Cognitive Behavioral Treatments for Insomnia in Adults With Situational Insomnia During the COVID-19 Outbreak","Objective: In the current global home confinement due to COVID-19, most individuals are facing unprecedented stress which can induce situational insomnia  We explored the efficacy of self-guided online Cognitive Behavioral Treatment for Insomnia (CBTI) on situational insomnia during COVID-19  Methods: Participants were recruited from March to April in 2020 in Guangzhou, China  A one-week Internet CBTI intervention was performed for all individuals with situational insomnia  Pre-Sleep Arousal Scale (PSAS), Insomnia Severity Index (ISI) and Hospital Anxiety and Depression Scale (HADS) were measured before and after the intervention and compared between individuals who completed and those who didnâ€™t  Results: One-hundred and ninety four patients with situational insomnia were included  For PSAS score, significant group effects were found on total score (p = 0 003), somatic score (p = 0 014) and cognitive score (p = 0 009)  Time effect was significant on total score (p = 0 004) and cognitive score (p &lt; 0 001)  There was a significant group Ã— time effect of the somatic score (p = 0 025)  For ISI total score, there were significant time effect (p &lt; 0 001) and group Ã— time effect (p = 0 024)  For the HAD score, a significant group effect was found on the anxiety score (p = 0 045)  The HAD scales were all found significant time effects for the total score, anxiety, and depressive symptoms (all p &lt; 0 001)  Conclusion: Our study suggests well efficacy of CBTI on situational insomnia during COVID-19 for adults in the community, as well as on pre-sleep somatic hyperarousal symptom","Zhang, Chenxi, Yang, Lulu, Liu, Shuai, Xu, Yan, Zheng, Huirong, Zhang, Bin","https://doi.org/10.3389/fnins.2020.622749","","Database: COVIDWHO; Publication details: Frontiers in Neuroscience;2021.; Publication details: Frontiers in Neuroscience;2021.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9903,""
"Mental health care of medical workers during COVID-19 pandemic","During the pandemic caused by the SARS-CoV-2 virus, healthcare workers are at the forefront of the battle undergoing not only significant physical but also emotional stress  At the same time medical workers are considered to be at high risk for the incidence of COVID-19  Staying in a state of constant emotional stress over time leads to the emergence of both mental and somatic disorders  The purpose of this article is to conduct a literature review on the principles of consistency regarding the mental health of staff members of medical institutions providing care to patients with COVID-19  A systematic literature search has been carried out, as a result of which 32 articles with reports of mental and behavioral disorders during the pandemic have been selected for analysis  The main group of disorders are disorders of the anxious-depressive spectrum  According to various sources, from a quarter to a third of medical workers have clinically significant anxiety, about a third - depression  Significant prevalence of sleep disorders in individuals providing medical care to patients with COVID-19 has also been indicated  In the long term, the expectation of an increase in the level ofpost-traumatic stress disorder has been indicated  The article also provides modern views on the socio-psychological effects of epidemics and pandemics  Excessive attention, especially on social media devoted to the problem of COVID-19 significantly complicates the fight against the real problem of overcoming the pandemic  It has been proven that over concentration of attention on problems associated with COVID-19 is a factor of the increased risk of developing generalized anxiety disorder  Thus, the protection of mental health and the socio-psychological support of medical workers are some of the important directions in the fight against the coronavirus pandemic  The management of psychological crises during pandemics should be based on psycho-hygienic and psycho-preventive measures both at the level of the individual and society as a whole","Yuryeva, L. M.","https://doi.org/10.26641/2307-0404.2020.4.221224","","Database: COVIDWHO; Publication details: Medical Perspectives-Medicni Perspektivi;25(4):12-21, 2020.; Publication details: Medical Perspectives-Medicni Perspektivi;25(4):12-21, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9904,""
"The Effect of the Covid-19 Pandemic on the Psychological Status of Hospital Workers","Background: The aim of this study was to determine the levels of disaster related depression, anxiety and stress symptoms and the affecting factors for hospital workers  Methods: This cross-sectional survey study was conducted in a pandemic hospital between April 8, 2020 and April 14, 2020 in Turkey  The survey included demographics, 18 situations containing seven main themes (health status, vulnerability, work, isolation, income, knowledge, and media) and the Depression Anxiety Stress-21 scale (DASS-21)  A multiple regression model was constructed to define the factors associated with the presence of any level depression, anxiety, and stress symptoms  Results: In total, 1129 participants completed the survey  Of all participants, 22 5% had various levels of depression, 23 6% had anxiety, and 20 3% had stress  Female gender, previous diagnosed psychiatric disease, and request for psychological support were common factors associated with the presence of depression, anxiety, and stress  Health status, vulnerability, income, and media as the main themes were also common factors related to the three psychological conditions of hospital workers  Conclusions: The study results demonstrated that one in every five hospital workers struggle with depression, anxiety, and stress symptoms at any level, and there was a significant relationship between certain factors and these psychological conditions","Yas, S. C.; Bildik, F.; Aslaner, M. A.; Aslan, S.; Keles, A.; Kilicaslan, I.; Yazla, M.; Demircan, A.","https://doi.org/10.5455/pcp.20200706082158","","Database: COVIDWHO; Publication details: Psychiatry and Clinical Psychopharmacology;30(3):63-71, 2020.; Publication details: Psychiatry and Clinical Psychopharmacology;30(3):63-71, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9905,""
"Anxiety, Depression, Impulsivity, and Mindfulness among Higher Education Faculty during COVID-19","Objective: In this paper, we examine the relationships among symptoms of anxiety and depression, impulsivity, and mindfulness among university faculty members during the COVID-19 pandemic, with a unique focus on whether these symptoms and practices of mindfulness differed with age, gender, ethnicity, and location  Methods: Participants (N = 302) from 2 universities completed online questionnaires pertaining to anxiety, depression, mindfulness, demographics, and impulsivity  Results: Lower mindfulness and greater impulsivity were associated with higher rates of anxiety and depression  Gender differences emerged;female participants experienced greater anxiety, less mindfulness, and worsened eating and sleeping habits compared to males  Individuals with direct COVID-19 experience (self-and/or family) did not report significantly different levels of anxiety, depression, mindfulness, or impulsivity  Ethnicity differences also emerged;relative to white participants, non-white participants had significantly worsened exercise habits, and non-Latinx/Hispanic participants endorsed worsened alcohol and marijuana use than Latinx/Hispanic participants  Finally, participants who reported having at least one mental health diagnosis (N = 41) reported significantly higher anxiety, depression, impulsivity, and marijuana use, lower levels of mindfulness, and worsened eating habits  Conclusions: The findings highlight the relationship between college faculty mental health and lifestyle habits, differences based on gender and ethnicity, and elucidate the ongoing challenges related to the COVID-19 pandemic","Weyandt, L. L.; Francis, A.; Shepard, E.; Gudmundsdottir, B. G.; Channell, I.; Beatty, A.; DuPaul, G. J.","https://doi.org/10.14485/hbpr.7.6.3","","Database: COVIDWHO; Publication details: Health Behavior and Policy Review;7(6):532-545, 2020.; Publication details: Health Behavior and Policy Review;7(6):532-545, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9906,""
"P122 The impact of COVID-19 shielding on the wellbeing, mental health and treatment adherence of adults with cystic fibrosis (CF)","BackgroundPeople with CF were considered to be extremely vulnerable to COVID-19 and were advised on 23rd March 2020 to â€˜shieldâ€™ (stay at home;no outside contacts) MethodsIn July an e-mail survey was sent to 137 CF adults to determine how strictly they had shielded, how they had coped and the effect on wellbeing and mental health (GAD-7 & PHQ-9)  Treatment adherence (measured with â€˜chipped nebulisersâ€™- CFHealthHub) and levels of anxiety and depression pre- and during shielding were compared in a subgroup that consented to being identified  Changes were compared with the Wilcoxon rank test Results63 (46%) responded;19 replied anonymously and 44 (25 men) gave their identity  Mean age (range) was 32 7 (17 5â€“64) years, FEV12 1 (0 57â€“4 86) L, BMI 22 8 (16 4â€“28 6) kg/m2 and 33 were on CFTR modulator treatment  Fifty-nine (94%) reported adherence to shielding â€˜all the timeâ€™/â€˜oftenâ€™  Most (76%) found this difficult, reporting a negative impact on exercise, social support, independence, sleep and daily routines  Most were not concerned about shielding being relaxed but 44% worried that others might not adhere to social distancing with risks of COVID-19 infection (43%)  Adherence rates during COVID were available in 42 patients, with a median of 91% (interquartile range 84% to 100%)  In 28 patients, pre-COVID adherence results were available, with a median difference of 0 (IQR -4 to 8)  In 41 patients with complete data, there was a significant difference in the median pre-COVID versus during-COVID anxiety score (pre= 2, IQR 0 5â€“6 compared to during =5, IQR 1â€“11;p=0 002)  â€˜Clinically significantâ€™ (mild-severe) anxiety rose from 27% pre-COVID to 54% during COVID  In 43 patients with complete data there was no difference in median pre-COVID versus during-COVID depression scores (pre= 3, IQR 1â€“10 compared to during= 3, IQR 2â€“12;p=0 09) ConclusionsThese CF patients showed high compliance with shielding, and high rates of adherence with medication, and none developed COVID-19  They coped well, with low depression scores, but negative impacts were reported on exercise, social support, and daily routines  Anxiety levels significantly increased during shielding, and 7 patients requested a psychology consultation from this survey","Westcott, K.; Wilkins, F.; Chancellor, M.; Anderson, A.; Doe, S.; Echevarria, C.; Bourke, S. J.","https://doi.org/10.1136/thorax-2020-BTSabstracts.267","","Database: COVIDWHO; Publication details: Thorax;76(Suppl 1):A154-A155, 2021.; Publication details: Thorax;76(Suppl 1):A154-A155, 2021.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9907,""
"Isolates depression is associated with the result RT-PCR diagnostic of COVID-19","Depression after diagnosis of RT-PCR and positive results that do not go negative in patients with diagnosed COVID-19 still need further research  This study aims to determine the relationship of severe depression with RT PCR results that remain positive even though it has been repeated many times  A total of 32 patients diagnosed with COVID-19 were assigned a level of depression using the Beck's Depression Inventory-II questionnaire  Pearson's correlation and linear regression were performed to identify the relationship and its strengths  Patients with a diagnosis of COVID-19 numbered 32 people, assessed the level of depression with results, minimal depression (12 5%), mild (12 5%), moderate (12 5%), severe (62 5%)  Patients with severe depression have more RT-PCR repeat rates than mild depression  The correlation test results showed a significance value of 0 415 with a regression coefficient of 0 000 with a = 5%  In sum, the severity of depression has a strong association with RT-PCR results","Wendra, S.; Setianingsih, H.; Nefertiti, E. P.","https://doi.org/10.31838/srp.2020.12.336","","Database: COVIDWHO; Publication details: Systematic Reviews in Pharmacy;11(12):2192-2195, 2020.; Publication details: Systematic Reviews in Pharmacy;11(12):2192-2195, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9908,""
"Impact of COVID-19 pandemic on mental health and effects of a sense of verdict of selected college students in Nepal, Nigeria and India","Background: The COVID-19 pandemic has brought a negative impact on mental health among college students across the world  Mental health issues are the leading obstacle to academic success  Aim of the study was to assess the prevalence and impact of COVID-19 on mental health and effects of a sense of verdict of selected college students from Nepal, Nigeria and India  Methods: Non-probability, snowball sampling technique was applied for data collection  A total of 696 responses were recorded from selected colleges from Nepal, Nigeria and India  Online survey-based platform was used to distribute the e-questionnaire to collect the information  Online survey was conducted from 15th to 30th June 2020  Results: More than half of the respondents 390(56%) had experienced depression during lockdown period  Majority of respondents 45(75 0%) from Nigeria had undergone depression followed by Nepal 73(58 87%) and India 271(52 93%)  Young respondents 194(38 6%) in the age group of 18-20 years had experienced mild depression  Conclusion: The lockdown due to COVID-19 pandemic has been brought an extraordinary academic challenge to the students across the world  It is necessary to adapt holistic approach to develop interventions and preventive strategies to address the mental health of college students for their well being","Vishwakarma, D.; Ravi, R. P.; Thomas, E.","https://doi.org/10.37506/ijphrd.v12i1.13831","","Database: COVIDWHO; Publication details: Indian Journal of Public Health Research and Development;12(1):60-68, 2021.; Publication details: Indian Journal of Public Health Research and Development;12(1):60-68, 2021.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-27","",9909,""
