"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","exclusion_reason","extraction_date","expert_decision","ID","o1"
"The psychosocial impact of the COVID-19 pandemic on 4,378 UK healthcare workers and ancillary staff: initial baseline data from a cohort study collected during the first wave of the pandemic","Objectives This study reports preliminary findings on the prevalence of, and factors associated with, mental health and wellbeing outcomes of healthcare workers during the early months (April-June) of the COVID-19 pandemic in the UK. Methods Preliminary cross-sectional data were analysed from a cohort study (n=4,378). Clinical and non-clinical staff of three London-based NHS Trusts (UK), including acute and mental health Trusts, took part in an online baseline survey. The primary outcome measure used is the presence of probable common mental disorders (CMDs), measured by the General Health Questionnaire (GHQ-12). Secondary outcomes are probable anxiety (GAD-7), depression (PHQ-9), Post-Traumatic Stress Disorder (PTSD) (PCL-6), suicidal ideation (CIS-R), and alcohol use (AUDIT). Moral injury is measured using the Moray Injury Event Scale (MIES). Results Analyses showed substantial levels of CMDs (58.9%, 95%CI 58.1 to 60.8), and of PTSD (30.2%, 95%CI 28.1 to 32.5) with lower levels of depression (27.3%, 95%CI 25.3 to 29.4), anxiety (23.2%, 95%CI 21.3 to 25.3), and alcohol misuse (10.5%, 95%CI, 9.2 to 11.9). Women, younger staff, and nurses tended to have poorer outcomes than other staff, except for alcohol misuse. Higher reported exposure to moral injury (distress resulting from violation of one's moral code) was strongly associated with increased levels of CMDs, anxiety, depression, PTSD symptoms, and alcohol misuse. Conclusions Our findings suggest that mental health support for healthcare workers should consider those demographics and occupations at highest risk. Rigorous longitudinal data are needed in order to respond to the potential long-term mental health impacts of the pandemic.","Danielle Lamb; Sam Gnanapragasam; Neil Greenberg; Rupa Bhundia; Ewan Carr; Matthew Hotopf; Reza Razavi; Rosalind Raine; Sean Cross; Amy Dewar; Mary Docherty; Sarah Dorrington; Stephani Hatch; Charlotte Wilson-Jones; Daniel Leightley; Ira Madan; Sally Marlow; Isabel McMullen; Anne Marie Rafferty; Martin Parsons; Catherine Polling; Danai Serfioti; Helen Gaunt; Peter Aitken; Joanna Morris-Bone; Chloe Simela; Veronica French; Rachel Harris; Sharon A.M. Stevelink; Simon Wessely","https://medrxiv.org/cgi/content/short/2021.01.21.20240887","20210122","","medRxiv","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9724,""
"Symptoms of anxiety and depression in relation to work patterns during the first wave of the COVID-19 epidemic in Philadelphia PA: a cross-sectional survey","Objective: We investigated whether patterns of work during COVID-19 pandemic altered by effort to contain the outbreak affected anxiety and depression. Methods: We conducted a cross-sectional online survey of 911 residents of Philadelphia, inquiring about their working lives during early months of the epidemic, symptoms of anxiety and depression, plus demographics, perceived sources of support, and general health. Results: Occupational contact with suspected COVID-19 cases was associated with anxiety. Concerns about return to work, childcare, lack of sick leave, and loss/reduction in work correlated with anxiety and depression, even when there was no evidence of occupational contact with infected persons; patterns differed by gender. Conclusions: Heightened anxiety and depression during COVID-19 pandemic can be due to widespread disruption of working lives, especially in non-essential low-income industries, on par with experience in healthcare.","Igor Burstyn; Tran Huynh","https://medrxiv.org/cgi/content/short/2021.01.21.21250117","20210122","","medRxiv","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9725,""
"Exploring support needs of people living with diabetes during the coronavirus COVID-19 pandemic: insights from a UK survey","Background The coronavirus COVID-19 pandemic has radically compromised healthcare for people living with chronic conditions such as diabetes. Government-imposed restrictions to contain the spread of the virus has forced people to suddenly adjust their lifestyle. This study aimed to capture the impact of the pandemic on people living with diabetes and the views of these individuals on ways in which the information, advice and support they are receiving could be improved. Research design and methods An online anonymous survey was distributed across the UK during the first lockdown and initial easing. The survey comprised questions about confidence in diabetes self-management, resources used to obtain information, advice and support, and opinions on how these could be improved. Open-ended captured subjective experiences. Results The survey was completed by 773 adults living with diabetes (69.2% type 1, 28.5% type 2). There was notable variability in the impact of the pandemic on confidence in self-management, with confidence having deteriorated most commonly in the ability to take care of own mental wellbeing (37.0% respondents) and improved most commonly in maintaining a healthy weight (21.1% respondents). 41.2% of respondents living alone reported not receiving any outside support. The quality of information, advice and support received from the healthcare team was rated poorly by 37.2%. Respondents sought greater communication and tailored advice from their care team, clear and consistent information from the government and news channels, and improved understanding of diabetes and its challenges from their personal networks and employers. Conclusion Adjusting to the COVID-19 pandemic has strained the mental health and wellbeing of people living with diabetes. Diabetes care teams must receive assistance to support these individuals without risking further inequalities in access to healthcare. Equipping personal networks and employers with knowledge on diabetes and skills to support self-management may reduce the burden on the NHS.","Sarah Sauchelli; Julia Bradley; Clare England; Aidan Searle; Alex Whitmarsh","https://medrxiv.org/cgi/content/short/2021.01.20.21249888","20210122","","medRxiv","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9726,""
"Longitudinal trends and risk factors for depressed mood among Canadian adults during the first wave of COVID-19","Background: The COVID-19 pandemic has raised serious concerns about the mental health impact of people directed and indirectly affected by the virus. Because this is a rapidly evolving situation, our goal was to explore potential risk factors and trends in feelings of anxiety and depression among the general population in Canada over the first five months of the pandemic. Methods: We completed on-line surveys of 3,127 unique individuals representative of the Canadian general population at 4 discreet periods every 6 weeks from April 15th to July 28th 2020. We assessed feelings of anxiety, depression and loss of interest with the interRAI self-reported mood scale using a multivariable generalized estimating equation model to examine factors associated with having a 5+ score on the scale (indicating potentially depressed mood). We also investigated potential longitudinal trends to examine temporal changes in mood scores. Results: More than 30% of participants felt highly anxious, depressed, and disinterested in everyday activities in the first survey (April), but this number decreased to about 20% over 4 months. Feeling lonely, younger age, feeling overwhelmed by one's health needs, having financial concerns, and living outside of Quebec were significantly associated with depressed mood. Interpretation: The prevalence of depressed mood during the pandemic was between 2 and 3 times the pre-pandemic rate (especially among young people), but it can change rapidly in response to social changes. Thus, monitoring of psychological distress among vulnerable groups that may benefit from additional supports should be a priority.","Gustavo Betini; John Hirdes; Rheda Adekpedjou; Chris Perlman; Nathan Huculak; Paul Hebert","https://medrxiv.org/cgi/content/short/2021.01.21.20245795","20210122","","medRxiv","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9727,""
"Chloroquine and Hydroxychloroquine for the Prevention or Treatment of COVID-19 in Africa: Caution for Inappropriate Off-label Use in Healthcare Settings","Abstract: The novel severe acute respiratory syndrome-coronavirus-2 pandemic has spread to Africa, where nearly all countries have reported laboratory-confirmed cases of novel coronavirus disease (COVID-19)  Although there are ongoing clinical trials of repurposed and investigational antiviral and immune-based therapies, there are as yet no scientifically proven, clinically effective pharmacological treatments for COVID-19  Among the repurposed drugs, the commonly used antimalarials chloroquine (CQ) and hydroxychloroquine (HCQ) have become the focus of global scientific, media, and political attention despite a lack of randomized clinical trials supporting their efficacy  Chloroquine has been used worldwide for about 75 years and is listed by the WHO as an essential medicine to treat malaria  Hydroxychloroquine is mainly used as a therapy for autoimmune diseases  However, the efficacy and safety of CQ/HCQ for the treatment of COVID-19 remains to be defined  Indiscriminate promotion and widespread use of CQ/HCQ have led to extensive shortages, self-treatment, and fatal overdoses  Shortages and increased market prices leave all countries vulnerable to substandard and falsified medical products, and safety issues are especially concerning for Africa because of its healthcare system limitations  Much needed in Africa is a cross-continental collaborative network for coordinated production, distribution, and post-marketing surveillance aligned to low-cost distribution of any approved COVID-19 drug;this would ideally be piggybacked on existing global aid efforts  Meanwhile, African countries should strongly consider implementing prescription monitoring schemes to ensure that any off-label CQ/HCQ use is appropriate and beneficial during this pandemic","","https://www.google.com/search?q=Chloroquine+and+Hydroxychloroquine+for+the+Prevention+or+Treatment+of+COVID-19+in+Africa:+Caution+for+Inappropriate+Off-label+Use+in+Healthcare+Settings","","Database: COVIDWHO; Publication details: American Journal of Tropical Medicine and Hygiene;102(6):1184-1188, 2020.; Publication details: American Journal of Tropical Medicine and Hygiene;102(6):1184-1188, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9728,""
"The Psychological Impact of the COVID-19 Pandemic on Health Professionals in Sudan 2020","Abstract: Background: The 2019 novel coronavirus (COVID-19) is highly contagious with pandemic transmission, and is therefore associated with severeÂ  health problems and high public anxiety, with healthcare community speculation to be the most distressed because they are at the highest risk of infection  This study aimed to investigate the psychological impact on frontline medical staff in Khartoum state, Sudan, during the COVID-19 pandemic between January and March 2020 Materials and Methods: Patient Health Questionnaire-9 (PHQ-9) scale, Generalized Anxiety Disorders (GAD-7) scale, and the Revised Impact ofÂ  Event Scale (IES-R) were used to assess depression, anxiety, and Post-traumatic Stress Disorders (PTSD) on the participants, respectively, through an online questionnaire  The data were analyzed using the Statistical Package for Social Science (SPSS) version 24 Results: PHQ-9 depression scale showed that 285 (82%) staff members had some degree of depression, with mild depression being the mostÂ  frequent, seen in 96 (24 2%), whereas, severe depression was found to be more common among the age group between 45 and 65 years and was associated with working in the emergency room (ER) (P = 0 03)  The PTSD among our participants was assessed by the IES-R that showed that 116 (29 3%) had subclinical PTSD, 124 (31 3%) had mild PTSD symptoms, 98 (24 7%) had moderate PTSD symptoms, and 58 (14 6%) had severe PTSD symptoms  Also, a statistical association was seen between the IES-R mean score and the age group between 25 and 34 years (P &lt; 0 0001), having a friend or family member infected with the disease (P &lt; 0 0001), and having a history of contact with a positive case of COVID-19 (P &lt; 0 0001)  We used GAD-7 anxiety score that showed mild anxiety in 32 (23 2%) participants, moderate anxiety in 53 (13 4%), and severe anxiety 66 (16 7%) Conclusion: This study aimed to explore the psychological impact of COVID-19 pandemic on medical staffâ€™s perception and its determinants  Most of our participants were found to be suffering from anxiety and depression with combining personal variables and working conditions as predictors","","https://www.google.com/search?q=The+Psychological+Impact+of+the+COVID-19+Pandemic+on+Health+Professionals+in+Sudan+2020","","Database: COVIDWHO; Publication details: Sudan Journal of Medical Sciences;15:54-70, 2020.; Publication details: Sudan Journal of Medical Sciences;15:54-70, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9729,""
"Zim Sitting On A Post COVID-19 Mental Health Time Bomb","Abstract: Mental health expert and Psychologist, Dr Kudakwashe Muchena has warned of a serious mental health crisis post the COVID-19 induced lockdown at the back of economic and social uncertainties that have been brought about by the prevailing COVID-19 health crisis  In an interview with HealthTimes, Dr Muchena said Zimbabwe had already been experiencing high suicide and mental health cases before the COVID-19 struck and the prevailing health crisis would likely worsen an already fragile mental health environment Â  We are sitting on a time-bomb, whilst all the focus has been on the Coronavirus and how to manage it and how to do everything possible in order for us to contain it, I think we are sitting on a mental health time-bomb which can explode and is likely to explode just after we have done away with this Coronavirus Â  â€œWe are going to face of lot of mental health challenges in terms of mental health issues  People are losing their jobs and a lot of people are dropping out of school among a lot of issues that are going on  For people who already had previous mental health issues such as depression, anxiety and so on, this has been exacerbated by the uncertainty of the future and it creates a lot of serious mental health issues,â€ said Muchena","","https://www.google.com/search?q=Zim+Sitting+On+A+Post+COVID-19+Mental+Health+Time+Bomb","","Database: COVIDWHO; Publication details: HealthTimes;2020(May), 2020.; Publication details: HealthTimes;2020(May), 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9730,""
"Think about the new normality post COVID 19 with new ways and styles of life","Undoubtedly, COVID 19 has been a threat to human well-being  In this situation, a change is imposed in the ways and styles of life, even in the phase of the so-called new normality  The purpose of this work is to reflect, based on the approach of social studies, on the influence of modes, styles of action and life, for a better social confrontation in the named stage of facing the disease  The analysis carried out allows us to affirm that the adoption of new codes and lifestyles in the transition towards the new normality, based on the individual responsibility of each citizen, will generate a change in the physical and mental health of each individual in particular and of the population  in general, hence they are concepts whose theoretical approach is necessary  They are also very present constructs in the media, scientific debates and in everyday life, therefore reflection on these is extremely important","","https://www.google.com/search?q=Think+about+the+new+normality+post+COVID+19+with+new+ways+and+styles+of+life","","Database: COVIDWHO; Publication details: Medisur-Revista De Ciencias Medicas De Cienfuegos;18(5):1062-1066, 2020.; Publication details: Medisur-Revista De Ciencias Medicas De Cienfuegos;18(5):1062-1066, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9731,""
"Analysis of depression status and its influencing factors of first-line nurses in Wuhan during COVID-19 epidemic; <U+65B0><U+578B><U+51A0><U+72B6><U+75C5><U+6BD2><U+80BA><U+708E><U+75AB><U+60C5><U+671F><U+95F4><U+6B66><U+6C49><U+5E02><U+4E00><U+7EBF><U+62A4><U+58EB><U+6291><U+90C1><U+72B6><U+51B5><U+53CA><U+5F71><U+54CD><U+56E0><U+7D20><U+5206><U+6790>","<U+76EE><U+7684>:<U+4E86><U+89E3><U+65B0><U+578B><U+51A0><U+72B6><U+75C5><U+6BD2><U+80BA><U+708E>(COVID-19)<U+75AB><U+60C5><U+7206><U+53D1><U+671F><U+95F4><U+6B66><U+6C49><U+5E02><U+4E00><U+7EBF><U+62A4><U+58EB><U+6291><U+90C1><U+73B0><U+72B6><U+53CA><U+5F71><U+54CD><U+56E0><U+7D20>,<U+4E3A><U+540E><U+671F><U+5236><U+5B9A><U+6709><U+9488><U+5BF9><U+6027><U+7684><U+5FC3><U+7406><U+652F><U+6301><U+7B56><U+7565><U+63D0><U+4F9B><U+4F9D><U+636E> <U+65B9><U+6CD5>:<U+4E8E>2020<U+5E74>3<U+6708>3<U+81F3>10<U+65E5><U+91C7><U+7528><U+4FBF><U+5229><U+62BD><U+6837><U+6CD5><U+5728><U+6B66><U+6C49><U+5E02>7<U+6240>COVID-19<U+5B9A><U+70B9><U+533B><U+9662><U+62BD><U+53D6>1820<U+540D><U+4E00><U+7EBF><U+62A4><U+58EB>,<U+4F7F><U+7528><U+4E00><U+822C><U+4EBA><U+53E3><U+5B66><U+8D44><U+6599><U+95EE><U+5377><U+3001>PHQ-9<U+6291><U+90C1><U+91CF><U+8868><U+3001><U+77E5><U+89C9><U+538B><U+529B><U+91CF><U+8868><U+548C><U+963F><U+68EE><U+65AF><U+5931><U+7720><U+91CF><U+8868><U+8FDB><U+884C><U+95EE><U+5377><U+8C03><U+67E5> <U+7ED3><U+679C>:<U+6B66><U+6C49><U+5E02>1820<U+540D><U+4E00><U+7EBF><U+62A4><U+58EB><U+4E2D>,<U+51FA><U+73B0><U+6291><U+90C1><U+75C7><U+72B6><U+8005>1039<U+4EBA>,<U+6291><U+90C1><U+75C7><U+72B6><U+53D1><U+751F><U+7387><U+4E3A>57 1%;<U+591A><U+56E0><U+7D20><U+975E><U+6761><U+4EF6>Logistic<U+56DE><U+5F52><U+5206><U+6790><U+7ED3><U+679C><U+663E><U+793A>:<U+804C><U+4E1A><U+66B4><U+9732>(OR=1 846,95%CI:1 248~2 731),<U+6709><U+8D1F><U+6027><U+4E8B><U+4EF6><U+7ECF><U+5386>(OR=1 395,95%CI:1 055~1 844),<U+60A3><U+6709><U+6162><U+6027><U+75C5>(OR=1 742,95%CI:1 081~2 808),<U+81EA><U+8EAB><U+611F><U+67D3><U+65B0><U+578B><U+51A0><U+72B6><U+75C5><U+6BD2>(OR=2 596,95%CI:1 156~5 830),<U+9AD8><U+538B><U+529B>(OR=3 230,95%CI:2 556~4 083),<U+5931><U+7720>(OR=8 782,95%CI:6 959~11 083)<U+4E3A><U+6291><U+90C1><U+53D1><U+751F><U+7684><U+5371><U+9669><U+56E0><U+7D20> <U+7ED3><U+8BBA>:COVID-19<U+75AB><U+60C5><U+671F><U+95F4><U+6B66><U+6C49><U+5E02><U+4E00><U+7EBF><U+62A4><U+58EB><U+6291><U+90C1><U+4E0D><U+5BB9><U+4E50><U+89C2>,<U+5BF9><U+7279><U+6B8A><U+4EBA><U+7FA4><U+5E94><U+91CD><U+70B9><U+5173><U+6CE8><U+5168><U+7A0B><U+7ED9><U+4E88><U+5FC3><U+7406><U+5E72><U+9884>;<U+75AB><U+60C5><U+7ED3><U+675F><U+540E><U+4ECD><U+8981><U+7EE7><U+7EED><U+843D><U+5B9E>Â«<U+5173><U+4E8E><U+6539><U+5584><U+4E00><U+7EBF><U+533B><U+52A1><U+4EBA><U+5458><U+5DE5><U+4F5C><U+6761><U+4EF6><U+5207><U+5B9E><U+5173><U+5FC3><U+533B><U+52A1><U+4EBA><U+5458><U+8EAB><U+5FC3><U+5065><U+5EB7><U+82E5><U+5E72><U+63AA><U+65BD>Â»,<U+7ED9><U+4E88><U+4E00><U+7EBF><U+5FC3><U+7406><U+4FDD><U+5065><U+670D><U+52A1>","","https://www.google.com/search?q=Analysis+of+depression+status+and+its+influencing+factors+of+first-line+nurses+in+Wuhan+during+COVID-19+epidemic;+<U+65B0><U+578B><U+51A0><U+72B6><U+75C5><U+6BD2><U+80BA><U+708E><U+75AB><U+60C5><U+671F><U+95F4><U+6B66><U+6C49><U+5E02><U+4E00><U+7EBF><U+62A4><U+58EB><U+6291><U+90C1><U+72B6><U+51B5><U+53CA><U+5F71><U+54CD><U+56E0><U+7D20><U+5206><U+6790>","","Database: COVIDWHO; Publication details: <U+6C88><U+9633><U+533B><U+5B66><U+9662><U+5B66><U+62A5>; - (2020<U+5E74> 05):396-400, 2020.; Publication details: <U+6C88><U+9633><U+533B><U+5B66><U+9662><U+5B66><U+62A5>; - (2020<U+5E74> 05):396-400, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9732,""
"Data on media use and mental health during the outbreak of COVID-19 in China","The Coronavirus disease (COVID-19) spread rapidly in China in beginning of 2020  Self-quarantine was suggested by Chinese government to block the spread of the COVID-19  During the self-quarantine, the media played an indispensable role in acquisition of information about the disease  And it could also impact on people's mental health  Therefore, it is necessary to study the psychological outcome resulted from media use during the outbreak of COVID-19  The data in this article could help researchers to explore the mechanism between media use and mental health, and to have a deeper comprehension of the impact of media use on mental health during a public health emergency  The dataset provided in this article included 917 participants recruited from different provinces all over China  Among the participants, there were 304 males and 613 females, with an average age of 28 6 and a standard deviation of 9 5  They took Media Use Questionnaire (MUQ), Empathy-Sympathy Questionnaire (ESQ), Positive and Negative Affect Scale (PANAS), Death Anxiety Questionnaire (DAQ), Meaning in Life Questionnaire (MLQ), State boredom Questionnaire (SBQ), and Depression Anxiety Stress Scale-21 (DASS-21) to assess their media use and mental health during the outbreak of COVID-19  All these instruments for data collection were Chinese versions  In addition, a  csv file consists of major variables we used are included as a supplementary material  Descriptive statistics and hierarchical regression had been conducted with these data  For a discussion of the findings based on the dataset please see the article: Media use and acute psychological outcomes during COVID-19 outbreak in China [1] and Psychological distress and state boredom during the COVID-19 outbreak in China: the role of meaning in life and media use [2]","","https://doi.org/10.1016/j.dib.2021.106765","","Database: COVIDWHO; Publication details: Data in Brief;: 106765, 2021.; Publication details: Data in Brief;: 106765, 2021.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2021-01-22","",9733,""
