"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","exclusion_reason","extraction_date","expert_decision","ID","o1"
"Young people, mental health and COVID-19 infection: The canaries we put in the coal-mine","","Anonymous","https://doi.org/10.1016/j.puhe.2020.10.018","","Database: COVIDWHO; Publication details: Public Health;2020.; Publication details: Public Health;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7351,""
"Mental Health, COVID-19, and the Invisible Pandemic on the Horizon","","Anonymous","https://doi.org/10.1016/j.mayocp.2020.11.001","","Database: COVIDWHO; Publication details: Mayo Clinic Proceedings;2020.; Publication details: Mayo Clinic Proceedings;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7352,""
"Positionspapier der Ã–sterreichische Alzheimer Gesellschaft (Ã–AG) : Auswirkungen der COVID-19-Pandemie in Ã–sterreich auf Menschen mit Demenz und deren Betreuungsumfeld Â­ Problemfelder, Empfehlungen und Strategien; [Position paper of the Austrian Alzheimer Association (Ã–sterreichische Alzheimer Gesellschaft, Ã–AG) : Effects of the COVID-19 pandemic in Austria on people with dementia and their care environment-problem areas, recommendations, and strategies]","Older adults are particularly affected by the current COVID-19 (SARS-CoV-2) pandemic. The risk of dying from COVID-19 increases with age and is often associated with pre-existing health conditions. Globally, more than 50Â million-in Austria currently approximately 140,000 people-suffer from dementia. The co-occurrence of dementia as aÂ ""pandemic of old age"" together with the COVID-19 pandemic has aÂ double impact on persons living with dementia and their caregivers. The COVID-19 pandemic poses major challenges for individuals with dementia and their caregivers: (1)Â People with dementia have limited access to information on COVID-19, may have difficulties with protective measures such as wearing masks and in remembering safety regulations. (2)Â People with dementia live alone or with their family, or are institutionalized. To reduce the chance of infection among older people in nursing homes, Austrian local authorities have banned visitors to nursing homes and long-term care facilities and implemented strict social-distancing measures. As aÂ result, older people lost face-to-face contact with their family members, became isolated and social activities stopped. Consequently, anxiety, stress and serious concerns about infections among staff in nursing homes increased and they developed signs of exhaustion and burnout during the full lockdown of the facilities. Thus, due to the emerging COVID-19 crisis, the Austrian Alzheimer Association (Ã–sterreichische Alzheimer Gesellschaft, Ã–AG) and international societies developed recommendations to support people living with dementia and their caregivers on various issues of physical and mental health.","Defrancesco, Michaela; Bancher, Christian; Dal-Bianco, Peter; Hinterhuber, Hartmann; Schmidt, Reinhold; Struhal, Walter; Ransmayr, Gerhard; StÃ¶gmann, Elisabeth; Marksteiner, Josef","https://dx.doi.org/10.1007/s40211-020-00363-9","","Country: DE; ALEMANHA; GERMANY; ALEMANIA; DEUSTCHLAND; Database: MEDLINE; Publication details: Neuropsychiatr;2020 Oct 29.; Publication details: Neuropsychiatr;2020 Oct 29.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7353,""
"Depression, Anxiety, and Acute Stress Disorder Among Patients Hospitalized With Coronavirus Disease 2019: A Prospective Cohort Study","BACKGROUND: The epidemiology of psychiatric symptoms among patients with coronavirus disease 2019 is poorly characterized. OBJECTIVE: This article sought to identify the prevalence of anxiety, depression, and acute stress disorder among hospitalized patients with coronavirus diseaseÂ 2019. METHODS: Adult patients recently admitted to nonintensive care unit medical ward settings with coronavirus disease 2019 were eligible for enrollment. Enrolled patients were screened for depression, anxiety, and delirium. Subsequently, patients were followed up by phone after 2 weeks and rescreened for depression, anxiety, and acute stress disorder symptoms. Subjects' medical records were abstracted for clinical data. RESULTS: A total of 58 subjects were enrolled; of whom, 44 completed the study. Initially, 36% of subjects had elevated anxiety symptoms and 29% had elevated depression symptoms. At 2-week follow-up, 9% had elevated anxiety symptoms, 20% had elevated depression symptoms, and 25% had mild-to-moderate acute stress disorder symptoms. Discharge to home was not associated with improvement in psychiatric symptoms. CONCLUSIONS: A significant number of patients hospitalized with coronavirus disease 2019 experienced symptoms of depression and anxiety. While anxiety improved after index admission, depression remained fairly stable. Furthermore, a significant minority of patients experienced acute stress disorder symptoms, though these were largely mild to moderate.","Parker, Catherine; Shalev, Daniel; Hsu, Ian; Shenoy, Akhil; Cheung, Stephanie; Nash, Sara; Wiener, Ilona; Fedoronko, David; Allen, Nicole; Shapiro, Peter A","https://dx.doi.org/10.1016/j.psym.2020.10.001","","Country: GB; REINO UNIDO; UNITED KINGDOM; REINO UNIDO; UK; GREAT BRITAIN; INGLATERRA; ENGLAND; ESCOCIA; SCOTLAND; Database: MEDLINE; Publication details: Psychosomatics;2020 Oct 10.; Publication details: Psychosomatics;2020 Oct 10.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7354,""
"Determination of stress, depression and burnout levels of front-line nurses during the COVID-19 pandemic","All healthcare professionals, especially nurses, are affected psychosocially due to reasons such as uncertainty and work intensity experienced during the COVID-19 pandemic. In this descriptive study, it was aimed to determine the stress, depression and burnout levels of front-line nurses. Data were obtained from 705 nurses who worked at hospitals during the COVID-19 pandemic between May and July 2020, using a Personal Information Form, the Perceived Stress Scale, Beck Depression Inventory and Maslach Burnout Inventory. The data collection tools were sent online to nurse managers, requesting front-line nurses to answer the forms and scales. The nurses were mostly women and had bachelor's degrees, single and worked as nurses for between 1 and 10Ã‚Â years. They had high levels of stress and burnout and moderate depression. Those who were younger and had fewer years of work experience felt inadequate about nursing care and had higher levels of stress and burnout. More burnout was detected in nurses who had a positive COVID-19 test and did not want to work voluntarily during the pandemic. The authors suggest that preventive and promotive interventions in mental health should be planned and implemented to improve the mental health and maintain the well-being of front-line nurses during the pandemic, and to prepare nurses who may work during pandemics in the future.","Murat, KÃƒÂ¶se, SavaÃ…Å¸er","https://doi.org/10.1111/inm.12818","20201122","COVID-19; depression; mental health; nurses; stress","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7355,""
"COVID-19 is increasing Ghanaian pregnant women's anxiety and reducing healthcare seeking","The emergence of COVID-19 has presented challenges for pregnant women around the world, including disruptions in antenatal care (ANC), heightened anxiety during pregnancy, and concerns regarding safe delivery. The present study sought to determine how pregnant women in Ghana were affected by COVID-19.","Moyer, Sakyi, Sacks, Compton, Lori, Williams","https://doi.org/10.1002/ijgo.13487","20201122","COVID-19; Coronavirus; Perinatal mental health; Sub-Saharan Africa","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7356,""
"Psychological and neuropsychiatric implications of COVID-19","COVID-19 infections have spread quickly, resulting in massive healthcare burden to societies worldwide. The most urgent interventions needed in the present climate include epidemiological measures to reduce the spread of infection, efficient treatment of patients with severe illness to reduce mortality rates, as well as development of diagnostic tests. Alongside this, the acute, medium, and long-term mental-health consequences of the COVID-19 outbreak for patients, their family members, medical professionals, and the public at large should not be underestimated. Here, we draw on evidence from previous coronavirus outbreaks (i.e., SARS, MERS) and emerging evidence from China, Europe, Asia and the US to synthesize the current knowledge regarding the psychological and neuropsychiatric implications of the COVID-19 pandemic.","Mukaetova-Ladinska, Kronenberg","https://doi.org/10.1007/s00406-020-01210-2","20201122","Coronavirus, COVID-19; Liaison psychiatry; Mental health; Respiratory infection","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7357,""
"COVID-19 highlights the pitfalls of reliance on the carceral system as a response to addiction","People who are incarcerated are likely to meet criteria for at least one substance use disorder and need access to treatment. Access to such interventions was limited prior to the COVID-19 pandemic and has almost certainly been restricted further due to implementation of procedures intended to stop the spread of the virus. In this brief commentary, we discuss how COVID-19 has revealed the already tenuous access that people who are incarcerated have to behavioral health services, and the pitfalls of reliance on the U.S. carceral system as a response to addiction.","Zielinski, Hinton, Bull","https://doi.org/10.1016/j.jsat.2020.108190","20201122","Alcohol; COVID-19; Drugs; Jail; Mental health; Prison","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7358,""
"Mental health insurance in India after COVID-19","","Ghosh, Chatterji","https://doi.org/10.1016/S2215-0366(20)30468-5","20201121","","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7359,""
"COVID-19 and adolescent mental health in India","","Patra, Patro","https://doi.org/10.1016/S2215-0366(20)30461-2","20201121","","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-23","",7360,""
