"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","extraction_date","expert_decision","ID","o1"
"Study of knowledge, attitude, anxiety & perceived mental healthcare need in Indian population during COVID-19 pandemic","Novel Corona Virus Disease (COVID-19) originating from China has rapidly crossed borders, infecting people throughout the whole world. This phenomenon has led to a massive public reaction; the media has been reporting continuously across borders to keep all informed about the pandemic situation. All these things are creating a lot of concern for people leading to heightened levels of anxiety. Pandemics can lead to heightened levels of stress; Anxiety is a common response to any stressful situation. This study attempted to assess the knowledge, attitude, anxiety experience, and perceived mental healthcare need among adult Indian population during the COVID-19 pandemic. An online survey was conducted using a semi-structured questionnaire using a non-probability snowball sampling technique. A total of 662 responses were received. The responders had a moderate level of knowledge about the COVID-19 infection and adequate knowledge about its preventive aspects. The attitude towards COVID-19 showed peoples' willingness to follow government guidelines on quarantine and social distancing. The anxiety levels identified in the study were high. More than 80 % of the people were preoccupied with the thoughts of COVID-19 and 72 % reported the need to use gloves, and sanitizers. In this study, sleep difficulties, paranoia about acquiring COVID-19 infection and distress related social media were reported in 12.5 %, 37.8 %, and 36.4 % participants respectively. The perceived mental healthcare need was seen in more than 80 % of participants. There is a need to intensify the awareness and address the mental health issues of people during this COVID-19 pandemic.","Roy, Deblina; Tripathy, Sarvodaya; Kar, Sujita Kumar; Sharma, Nivedita; Verma, Sudhir Kumar; Kaushal, Vikas","https://doi.org/10.1016/j.ajp.2020.102083","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",301,""
"A Qualitative Study on the Psychological Experience of Caregivers of COVID-19 Patients","Background The coronavirus disease 2019 (COVID-19) is spreading rapidly, bringing pressure and challenges to nursing staff. Objective To explore the psychology of nurses caring for COVID-19 patients. Method Using a phenomenological approach, we enrolled 20 nurses who provided care for COVID-19 patients in the First Affiliated Hospital of Henan University of Science and Technology from 20 January to 10 February 2020. The interviews were conducted face-to-face or by telephone and were analysed by Colaizzi's 7-step method. Results The psychological experience of nurses caring for COVID-19 patients can be summarized into four themes. Firstly, negative emotions present in early stage consisting of fatigue, discomfort, and helplessness was caused by high-intensity work, fear and anxiety, and concern for patients and family members. Secondly, self-coping styles included psychological and life adjustment, altruistic acts, team support, and rational cognition. Thirdly, we found growth under pressure, which included increased affection and gratefulness, development of professional responsibility, and self-reflection. Finally, we showed that positive emotions occurred simultaneously with negative emotions. Conclusions During an epidemic outbreak, positive and negative emotions of the front-line nurses interweaved and coexisted. In the early stage, negative emotions were dominant and positive emotions appeared gradually. Self-coping styles and psychological growth played an important role in maintaining mental health of nurses.","Sun, Niuniu; Shi, Suling; Jiao, Dandan; Song, Runluo; Ma, Lili; Wang, Hongwei; Wang, Chao; Wang, Zhaoguo; You, Yanli; Liu, Shuhua; Wang, Hongyun","https://doi.org/10.1016/j.ajic.2020.03.018","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",302,""
"EDITORIAL: COVID-19 and Anxiety and Depression in 2020","","Stein, Murray B.","https://doi.org/10.1002/da.23014","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",303,""
"First COVID-19 suicide case in Bangladesh due to fear of COVID-19 and xenophobia: Possible suicide prevention strategies","","Mamun, Mohammed A.; Griffiths, Mark D.","https://doi.org/10.1016/j.ajp.2020.102073","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",304,""
"Life in the pandemic: Social isolation and mental health","Abstract Quarantine or physical isolation, used for centuries to contain the spread of infection, isolates those who have (or may have) been infected by a contagious disease to control or limit contamination. The COVID-19, a novel coronavirus first reported in Wuhan, China in late 2019, has rapidly spread across the globe becoming a pandemic. Modern quarantine strategies have been imposed globally in an attempt to curtail the spread of the COVID-19 infection including short- to medium-term lockdowns, voluntary home curfew, restriction on the assembly of groups of people, cancellation of planned social and public events, closure of mass transit systems, and other travel restrictions.","Usher, Kim; Bhullar, Navjot; Jackson, Debra","https://doi.org/10.1111/jocn.15290","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",305,""
"Work stress among Chinese nurses to support Wuhan for fighting against the COVID-19 epidemic","AIMS: In this study, we aimed to investigate work stress among Chinese nurses that are supporting Wuhan in fighting against Coronavirus Disease 2019 (COVID-19) infection and explore relevant influencing factors. BACKGROUND: The COVID-19 epidemic has posed a major threat to public health. Nurses have always played an important role in infection prevention, infection control, isolation, containment, and public health. However, available data on the work stress among these nurses is limited. METHODS: A cross-sectional survey. An online questionnaire was completed by 180 anti-epidemic nurses from Guangxi. Data collection tools, including the Chinese version of the Stress Overload Scale (SOS) and the Self-Rating Anxiety Scale (SAS). Descriptive, single factor, correlation, and multiple regression analyses were used in exploring related influencing factors. RESULTS: The SOS (39.91±12.92) and SAS scores (32.19±7.56) of this nurse group were positively correlated (r=0.676, p<0.05). Multiple regression analysis showed that only children, working hours per week, and anxiety were the main factors affecting nurse stress (p=0.000, 0.048, 0.000, respectively). CONCLUSIONS: Nurses who fight against COVID-19 were generally under pressure. IMPLICATIONS FOR NURSING MANAGEMENT: Nurse leaders should pay attention to the work stress and the influencing factors of the nurses who are fighting against COVID-19 infection, and offer solutions to retain mental health among these nurses.","Mo, Yuanyuan; Deng, Lan; Zhang, Liyan; Lang, Qiuyan; Liao, Chunyan; Wang, Nannan; Qin, Mingqin; Huang, Huiqiao","https://doi.org/10.1111/jonm.13014","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",306,""
"Recommendations for respiratory rehabilitation in adults with COVID-19","Coronavirus disease-2019 (COVID-19) is a highly infectious respiratory disease that leads to respiratory, physical, and psychological dysfunction in patients. Respiratory rehabilitation is an important intervention as well as cure for clinical patients. With increased understanding of COVID-19 and the accumulation of clinical experience, we proposed recommendations for respiratory rehabilitation in adults with COVID-19 based on the opinions of frontline clinical experts involved in the management of this epidemic and a review of the relevant literature and evidence. Our recommendations are as follows: 1. for inpatients with COVID-19, respiratory rehabilitation would relieve the symptoms of dyspnea, anxiety, and depression and eventually improve physical functions and the quality of life; 2. for severe/critical inpatients, early respiratory rehabilitation is not suggested; 3. for patients in isolation, respiratory rehabilitation guidance should be conducted through educational videos, instruction manuals, or remote consultation; 4. assessment and monitoring should be performed throughout the respiratory rehabilitation process; 5. proper grade protection should be used following the present guidelines. These recommendations can guide clinical practice and form the basis for respiratory rehabilitation in COVID-19 patients.","Zhao, Hong-Mei; Xie, Yu-Xiao; Wang, Chen","https://doi.org/10.1097/CM9.0000000000000848","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",307,""
"<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","<U+672C><U+6587><U+662F><U+70BA><U+7167><U+8B77><U+5169><U+4F4D><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+75BE><U+75C5>Coronavirus disease 2019(COVID-19)<U+611F><U+67D3><U+500B><U+6848><U+5165><U+4F4F><U+8CA0><U+58D3><U+9694><U+96E2><U+75C5><U+623F><U+5F8C>,<U+75C5><U+4EBA><U+6240><U+9762><U+81E8><U+8EAB><U+9AD4><U+3001><U+5FC3><U+7406><U+3001><U+8207><U+793E><U+6703><U+7B49><U+5404><U+65B9><U+9762><U+6539><U+8B8A><U+6240><U+5F15><U+767C><U+7684><U+8B77><U+7406><U+554F><U+984C><U+3002><U+7B46><U+8005><U+85C9><U+7531><U+81E8><U+5E8A><U+89C0><U+5BDF><U+53CA><U+96FB><U+8A71><U+8A2A><U+8AC7><U+8490><U+96C6><U+8CC7><U+6599>,<U+63D0><U+4F9B><U+5408><U+5B9C>,<U+500B><U+5225><U+8B77><U+7406><U+63AA><U+65BD>,<U+5305><U+542B><U+9F13><U+52F5><U+500B><U+6848><U+60C5><U+7DD2><U+6292><U+767C><U+8207><U+8010><U+5FC3><U+50BE><U+807D><U+5FC3><U+4E2D><U+611F><U+53D7>,<U+9069><U+6642><U+63D0><U+4F9B><U+9069><U+7576><U+7684><U+5FC3><U+7406><U+652F><U+6301><U+3002><U+5229><U+7528><U+97F3><U+6A02><U+7D13><U+58D3>,<U+5F15><U+5C0E><U+500B><U+6848><U+4EE5><U+6B63><U+5411><U+614B><U+5EA6><U+9762><U+5C0D><U+6B64><U+6B21><U+75BE><U+75C5>,<U+540C><U+6642><U+5354><U+52A9><U+500B><U+6848><U+5728><U+51FA><U+9662><U+5F8C><U+6062><U+5FA9><U+6B63><U+5E38><U+751F><U+6D3B>,<U+5E0C><U+671B><U+6B64><U+5831><U+544A><U+80FD><U+63D0><U+4F9B><U+8B77><U+7406><U+4EBA><U+54E1><U+5728><U+7167><U+9867><U+985E><U+4F3C><U+500B><U+6848><U+4E4B><U+53C3><U+8003><U+3002> We reported our nursing experience about caring two cases for Coronavirus disease 2019 (COVID-19) infected diseases patients, mainly focused on the mental health care. Patients admitted in the negative pressure isolation ward might having care needs in physical, mental, and social dimensions. According to our clinical observation and telephone interviews with patients, we suggested personalized nursing cares by listening, music relaxation, and emotional expression might be the suitable methods to lead patients to release their acute stress status.","<U+674E><U+5468><U+71D5>; <U+51CC><U+6B63><U+83EF>; <U+5289><U+7FCE><U+73B2>; <U+8449><U+9E97><U+6708>; <U+6D2A><U+5F18><U+660C>","https://www.google.com/search?q=<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",308,""
"&quot;Pandemic fear&quot; and COVID-19: mental health burden and strategies.",NA,"Ornell, Schuch, Sordi, Kessler","https://doi.org/10.1590/1516-4446-2020-0008","20200408",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",309,""
"EDITORIAL: COVID-19 and Anxiety and Depression in 2020.",NA,"Stein","https://doi.org/10.1002/da.23014","20200408",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-09","",310,""
